A.thaliana	G.sempervirens	C.roseus	Short_description	Curator_summary
AT5G43020.1	Gelse_mpi.v2.2_MPIG006110.2	CRO_07G007020.1	Leucine-rich repeat protein kinase family protein	NA
AT4G06744.1	Gelse_mpi.v2.2_MPIG006120.2	CRO_07G007030.1	Leucine-rich repeat (LRR) family protein	NA
NA	Gelse_mpi.v2.2_MPIG006130.2	CRO_07G007040.1	NA	NA
NA	NA	CRO_07G007060.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006140.1	CRO_07G007070.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006150.3	CRO_07G007080.2	NA	NA
NA	Gelse_mpi.v2.2_MPIG006160.1	CRO_07G007090.3	NA	NA
NA	Gelse_mpi.v2.2_MPIG006170.1	CRO_07G007100.2	NA	NA
AT4G07390.1	Gelse_mpi.v2.2_MPIG006180.1	CRO_07G007110.1	Mannose-P-dolichol utilization defect 1 protein	NA
AT4G07400.1	Gelse_mpi.v2.2_MPIG006190.1	CRO_07G007120.1	VIER F-box proteine 3	Encodes an F-box protein. Based on genetic analysis appears to be functionally redundant with VFB1,2,and 4. When levels of all 4 genes are reduced plants show defects in growth and reduced levels of auxin response genes.
AT1G47056.1	Gelse_mpi.v2.2_MPIG006190.1	CRO_07G007120.1	VIER F-box proteine 1	Encodes an F-box protein. Based on genetic analysis appears to be functionally redundant with VFB2,3, and 4. When expression of all 4 genes is reduced plants show defects in growth and reduced expression of auxin response genes.
NA	Gelse_mpi.v2.2_MPIG006200.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG006210.16	CRO_07G007130.3	NA	NA
NA	Gelse_mpi.v2.2_MPIG006220.1	CRO_07G007140.2	NA	NA
NA	Gelse_mpi.v2.2_MPIG006230.1	CRO_07G007150.2	NA	NA
NA	Gelse_mpi.v2.2_MPIG006240.2	CRO_07G007160.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006260.6	CRO_07G007170.1	NA	NA
AT5G43050.1	NA	NA	Protein of unknown function (DUF565)	Chloroplast localized YCF20-like gene involved in nonphotochemical quenching. Has overlapping functions with npq7
NA	NA	CRO_07G007200.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006300.1	CRO_07G007210.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006310.1	CRO_07G007220.6	NA	NA
AT5G43060.1	NA	NA	Granulin repeat cysteine protease family protein	NA
NA	NA	CRO_07G007260.1	NA	NA
NA	NA	CRO_07G007270.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006340.1	CRO_07G007300.1	NA	NA
AT5G43066.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG006350.1	CRO_07G007340.1	NA	NA
NA	NA	CRO_07G007350.1	NA	NA
NA	NA	CRO_07G007360.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006360.1	CRO_07G007370.1	NA	NA
AT5G43070.1	Gelse_mpi.v2.2_MPIG006370.1	CRO_07G007380.2	WPP domain protein 1	WPP family members contains an NE targeting domain. This domain, called the WPP domain  after a highly conserved Trp-Pro-Pro motif, is necessary and sufficient for NE targeting of WPP1. RNAi suppression of WPP1 resulted in reduced mitotic activity.
AT1G47200.1	Gelse_mpi.v2.2_MPIG006370.1	CRO_07G007380.2	WPP domain protein 2	WPP family members contains an NE targeting domain. This domain, called the WPP domain  after a highly conserved Trp-Pro-Pro motif, is necessary  for NE targeting of WPP1. RNAi suppression of WPP2 resulted in reduced mitotic activity.
AT5G67310.1	Gelse_mpi.v2.2_MPIG006380.1	CRO_07G007410.1	cytochrome P450, family 81, subfamily G, polypeptide 1	member of CYP81G
NA	Gelse_mpi.v2.2_MPIG006410.1	CRO_07G007460.1	NA	NA
NA	NA	CRO_07G007470.1	NA	NA
NA	NA	CRO_07G007480.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006440.1	CRO_07G007510.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006450.1	NA	NA	NA
NA	NA	CRO_07G007520.1	NA	NA
AT5G43080.1	Gelse_mpi.v2.2_MPIG006470.1	CRO_07G007550.1	Cyclin A3;1	NA
AT1G47220.1	Gelse_mpi.v2.2_MPIG006470.1	CRO_07G007550.1	Cyclin A3;3	NA
NA	Gelse_mpi.v2.2_MPIG006480.1	CRO_07G007560.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006490.2	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG006510.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG006520.1	CRO_07G007570.1	NA	NA
AT5G43090.1	NA	NA	pumilio 13	Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3' UTR of target mRNA transcripts.
NA	NA	CRO_07G007580.1	NA	NA
NA	NA	CRO_07G007430.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006560.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG006530.1	CRO_07G007600.2	NA	NA
NA	Gelse_mpi.v2.2_MPIG006540.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG006550.1	NA	NA	NA
AT5G43100.1	NA	NA	Eukaryotic aspartyl protease family protein	NA
AT1G47240.1	Gelse_mpi.v2.2_MPIG006570.1	CRO_07G007610.1	NRAMP metal ion transporter 2	Member of the NRAMP2 gene family of metal ion transporters.
NA	Gelse_mpi.v2.2_MPIG006580.2	CRO_07G007620.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006590.1	CRO_07G007630.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006600.1	CRO_07G007640.1	NA	NA
AT1G27690.1	Gelse_mpi.v2.2_MPIG006610.1	CRO_07G007650.1	Protein of unknown function (DUF620)	NA
NA	Gelse_mpi.v2.2_MPIG006620.1	NA	NA	NA
AT5G43120.1	Gelse_mpi.v2.2_MPIG006630.1	CRO_07G007660.1	ARM-repeat/Tetratricopeptide repeat (TPR)-like protein	NA
NA	Gelse_mpi.v2.2_MPIG006640.1	CRO_07G007670.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006650.1	CRO_07G007680.1	NA	NA
AT1G27695.1	Gelse_mpi.v2.2_MPIG006660.1	CRO_07G007690.1	glycine-rich protein	NA
NA	NA	CRO_07G007700.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006670.1	NA	NA	NA
AT1G27700.1	Gelse_mpi.v2.2_MPIG006680.1	CRO_07G007710.1	Syntaxin/t-SNARE family protein	NA
NA	Gelse_mpi.v2.2_MPIG006690.3	CRO_07G007720.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006710.3	CRO_07G007730.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006720.1	CRO_07G007740.1	NA	NA
AT1G27710.1	NA	NA	Glycine-rich protein family	NA
NA	Gelse_mpi.v2.2_MPIG006730.1	CRO_07G007750.1	NA	NA
AT5G43130.2	Gelse_mpi.v2.2_MPIG006740.2	CRO_07G007760.2	TBP-associated factor 4	NA
AT1G27720.1	Gelse_mpi.v2.2_MPIG006740.2	CRO_07G007760.2	TBP-associated factor 4B	NA
AT5G43140.1	Gelse_mpi.v2.2_MPIG006750.1	CRO_07G007770.1	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein	NA
AT5G43150.1	NA	CRO_07G007780.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006760.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG006770.1	CRO_07G007790.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006780.5	CRO_07G007800.5	NA	NA
AT5G43160.1	NA	NA	Family of unknown function (DUF566) 	NA
NA	Gelse_mpi.v2.2_MPIG006790.2	CRO_07G007810.1	NA	NA
AT5G43170.1	Gelse_mpi.v2.2_MPIG006800.1	CRO_07G007820.1	zinc-finger protein 3	Encodes zinc finger protein.  mRNA levels are elevated in response to high salinity and low temperature. The protein is localized to the nucleus and acts as a transcriptional repressor.
AT1G27730.1	Gelse_mpi.v2.2_MPIG006800.1	CRO_07G007820.1	salt tolerance zinc finger	Related to Cys2/His2-type zinc-finger proteins found in higher plants. Compensated for a subset of calcineurin deficiency in yeast. Salt tolerance produced by ZAT10 appeared to be partially dependent on ENA1/PMR2, a P-type ATPase required for Li+ and Na+ efflux in yeast. The protein is localized to the nucleus, acts as a transcriptional repressor and is responsive to chitin oligomers. Also involved in response to photooxidative stress.
NA	Gelse_mpi.v2.2_MPIG006810.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG006820.1	CRO_07G007830.1	NA	NA
AT1G27750.1	Gelse_mpi.v2.2_MPIG006840.1	CRO_07G007840.2	nucleic acid binding	NA
AT1G27752.1	Gelse_mpi.v2.2_MPIG006850.6	CRO_07G007850.3	Ubiquitin system component Cue protein	NA
AT5G43175.1	Gelse_mpi.v2.2_MPIG006830.1	NA	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	NA
AT1G27740.1	Gelse_mpi.v2.2_MPIG006830.1	NA	root hair defective 6-like 4	Basic helix-loop-helix (bHLH) transcription factor  that is sufficient to promote postmitotic cell growth in root-hair cells. RSL4 is a direct transcriptional target of RHD6
NA	Gelse_mpi.v2.2_MPIG006860.1	NA	NA	NA
AT1G27760.3	Gelse_mpi.v2.2_MPIG006870.1	CRO_07G007860.1	interferon-related developmental regulator family protein / IFRD protein family	Encodes a protein with similarity to human interferon-related developmental regulator (IFRD)that is involved in salt tolerance. Loss of function mutations are hypersensitive to salt stress and have reduced fertility. SAT32 is found in the cytoplasm but appears to translocate to the nucleus when plants are subject to salt stress.
NA	Gelse_mpi.v2.2_MPIG006880.1	CRO_07G007870.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006900.1	NA	NA	NA
AT5G43180.1	NA	NA	Protein of unknown function, DUF599	NA
AT1G27770.1	NA	CRO_07G007880.1	autoinhibited Ca2+-ATPase 1	Encodes a chloroplast envelope Ca2+-ATPase with an N-terminal autoinhibitor.
NA	Gelse_mpi.v2.2_MPIG006910.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG006920.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG006940.1	CRO_07G007900.2	NA	NA
NA	Gelse_mpi.v2.2_MPIG006930.10	CRO_07G007890.5	NA	NA
AT5G43185.1	NA	NA	Expressed protein	NA
AT1G27820.1	NA	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG006950.1	CRO_07G007920.1	NA	NA
AT5G43190.1	Gelse_mpi.v2.2_MPIG006960.1	CRO_07G007930.1	Galactose oxidase/kelch repeat superfamily protein	NA
AT1G27840.3	Gelse_mpi.v2.2_MPIG006970.3	CRO_07G007940.1	Transducin/WD40 repeat-like superfamily protein	Encodes a DDB1a interacting protein ATCSA-1 required for UV-B tolerance and genomic integrity.
NA	Gelse_mpi.v2.2_MPIG006980.3	CRO_07G007950.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG006990.1	CRO_07G007960.1	NA	NA
AT1G59600.1	Gelse_mpi.v2.2_MPIG007000.5	CRO_07G007970.4	ZCW7	NA
AT1G59590.1	Gelse_mpi.v2.2_MPIG007010.1	CRO_07G007980.1	ZCF37	ZCF37 mRNA, complete cds
AT1G10220.1	Gelse_mpi.v2.2_MPIG007010.1	CRO_07G007980.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007020.1	CRO_07G007990.1	NA	NA
AT1G10200.1	Gelse_mpi.v2.2_MPIG007030.1	CRO_07G008000.1	GATA type zinc finger transcription factor family protein	NA
NA	Gelse_mpi.v2.2_MPIG007040.3	CRO_07G008010.1	NA	NA
AT1G59580.1	NA	NA	mitogen-activated protein kinase homolog 2	encodes a mitogen-activated kinase involved in innate immunity
NA	Gelse_mpi.v2.2_MPIG007060.1	CRO_07G008030.1	NA	NA
AT1G10190.1	NA	NA	Protein of Unknown Function (DUF239)	NA
NA	Gelse_mpi.v2.2_MPIG007050.1	CRO_07G008020.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007070.1	CRO_07G008040.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007080.1	CRO_07G008050.1	NA	NA
AT1G59560.1	NA	NA	E3 Ubiquitin ligase family protein	NA
NA	Gelse_mpi.v2.2_MPIG007090.3	NA	NA	NA
NA	NA	CRO_07G008070.1	NA	NA
AT1G10180.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007100.1	CRO_07G008080.3	NA	NA
AT4G07410.1	Gelse_mpi.v2.2_MPIG007110.2	CRO_07G008090.2	Transducin family protein / WD-40 repeat family protein	NA
AT1G27470.1	Gelse_mpi.v2.2_MPIG007110.2	CRO_07G008090.2	transducin family protein / WD-40 repeat family protein	NA
AT1G10130.1	Gelse_mpi.v2.2_MPIG007120.1	CRO_07G008100.2	endoplasmic reticulum-type calcium-transporting ATPase 3	Encodes a golgi localized P2A-type Ca2+ ATPase involved in Mn nutrition and homeostasis.
AT1G59550.1	NA	NA	UBX domain-containing protein	NA
NA	Gelse_mpi.v2.2_MPIG007140.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007150.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007180.1	CRO_07G008110.1	NA	NA
AT1G10170.1	NA	NA	NF-X-like 1	Encodes AtNFXL1, a homologue of the putative human transcription repressor NF-X1.  Functions as a negative regulator of the trichothecene phytotoxin-induced defense response.
NA	Gelse_mpi.v2.2_MPIG007220.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007230.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007240.3	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007250.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007270.2	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007280.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007300.1	CRO_07G008120.3	NA	NA
AT1G58420.1	Gelse_mpi.v2.2_MPIG007310.1	CRO_07G008130.1	Uncharacterised conserved protein UCP031279	NA
AT1G10140.1	Gelse_mpi.v2.2_MPIG007310.1	CRO_07G008130.1	Uncharacterised conserved protein UCP031279	NA
AT1G27480.1	Gelse_mpi.v2.2_MPIG007320.1	CRO_07G008140.1	alpha/beta-Hydrolases superfamily protein	NA
AT1G10155.1	NA	NA	phloem protein 2-A10	NA
NA	Gelse_mpi.v2.2_MPIG007330.1	CRO_07G008150.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007340.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007350.1	CRO_07G008160.1	NA	NA
NA	NA	CRO_07G008170.1	NA	NA
AT1G59510.1	Gelse_mpi.v2.2_MPIG007360.7	CRO_07G008180.1	Carbohydrate-binding protein	Encodes CF9.
AT1G10150.1	Gelse_mpi.v2.2_MPIG007360.7	CRO_07G008180.1	Carbohydrate-binding protein	NA
AT1G59535.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007370.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007390.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007400.3	NA	NA	NA
NA	NA	CRO_07G008190.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007410.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007420.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007430.2	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007450.1	CRO_07G008200.1	NA	NA
AT1G59520.3	Gelse_mpi.v2.2_MPIG007460.3	CRO_07G008210.2	CW7	Encodes CW7.
AT1G59530.1	Gelse_mpi.v2.2_MPIG007470.1	CRO_07G008220.1	basic leucine-zipper 4	NA
AT1G59500.1	NA	NA	Auxin-responsive GH3 family protein	encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro.
AT1G59540.1	Gelse_mpi.v2.2_MPIG007480.2	CRO_07G008230.2	P-loop containing nucleoside triphosphate hydrolases superfamily protein	Encodes a kinesin-like protein.
NA	Gelse_mpi.v2.2_MPIG007490.1	CRO_07G008240.1	NA	NA
AT1G59171.1	NA	NA	Inositol-pentakisphosphate 2-kinase family protein	NA
NA	NA	CRO_07G008250.1	NA	NA
AT1G59077.1	NA	NA	NA	NA
AT1G59030.1	NA	NA	GDSL-like Lipase/Acylhydrolase superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG007500.1	CRO_07G008260.2	NA	NA
AT1G58936.1	NA	NA	Inositol-pentakisphosphate 2-kinase family protein	NA
AT1G58848.1	NA	NA	Disease resistance protein (CC-NBS-LRR class) family	NA
NA	Gelse_mpi.v2.2_MPIG007510.1	CRO_07G008270.1	NA	NA
AT1G58684.1	NA	NA	Ribosomal protein S5 family protein	NA
NA	Gelse_mpi.v2.2_MPIG007520.3	CRO_07G008280.2	NA	NA
AT1G58470.1	Gelse_mpi.v2.2_MPIG007530.2	CRO_07G008290.1	RNA-binding protein 1	encodes an RNA-binding protein
NA	NA	CRO_07G008300.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007540.1	CRO_07G008310.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007550.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007560.1	CRO_07G008320.1	NA	NA
AT1G58460.1	NA	NA	NA	NA
AT1G10120.1	Gelse_mpi.v2.2_MPIG007570.8	CRO_07G008330.2	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	NA
NA	NA	CRO_07G008340.1	NA	NA
AT4G07960.1	Gelse_mpi.v2.2_MPIG007580.2	CRO_07G008350.3	Cellulose-synthase-like C12	encodes a gene similar to cellulose synthase
AT1G58450.1	NA	NA	Tetratricopeptide repeat (TPR)-like superfamily protein	NA
NA	NA	CRO_07G008360.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007590.1	CRO_07G008370.1	NA	NA
AT1G10100.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007600.3	NA	NA	NA
AT1G58440.1	Gelse_mpi.v2.2_MPIG007610.1	CRO_07G008380.2	FAD/NAD(P)-binding oxidoreductase family protein	Encodes a putative protein that has been speculated, based on sequence similarities, to have squalene monooxygenase activity.
AT4G07990.1	Gelse_mpi.v2.2_MPIG007620.1	CRO_07G008390.1	Chaperone DnaJ-domain superfamily protein	NA
AT1G10095.1	NA	NA	Protein prenylyltransferase superfamily protein	NA
AT1G58430.1	NA	NA	GDSL-like Lipase/Acylhydrolase family protein	Encodes an anther-specific proline-rich protein.
NA	Gelse_mpi.v2.2_MPIG007630.4	CRO_07G008400.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007640.1	CRO_07G008410.1	NA	NA
AT1G58520.2	Gelse_mpi.v2.2_MPIG007650.5	CRO_07G008420.2	lipases;hydrolases, acting on ester bonds	NA
AT1G10090.1	Gelse_mpi.v2.2_MPIG007650.5	CRO_07G008420.2	Early-responsive to dehydration stress protein (ERD4)	NA
NA	Gelse_mpi.v2.2_MPIG007660.2	CRO_07G008430.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007670.1	CRO_07G008440.1	NA	NA
NA	NA	CRO_07G008450.1	NA	NA
AT1G10070.1	Gelse_mpi.v2.2_MPIG007680.14	CRO_07G008460.1	branched-chain amino acid transaminase 2	Encodes a chloroplast branched-chain amino acid aminotransferase. Complements the yeast leu/iso-leu/val auxotrophy mutant.
NA	Gelse_mpi.v2.2_MPIG007690.1	NA	NA	NA
NA	NA	CRO_07G008480.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007700.2	CRO_07G008490.2	NA	NA
AT4G08150.1	Gelse_mpi.v2.2_MPIG007710.5	CRO_07G008500.1	KNOTTED-like from Arabidopsis thaliana	A member of class I knotted1-like homeobox gene family (together with KNAT2). Similar to the knotted1 (kn1) homeobox gene of maize. Normally expressed in the peripheral and rib zone of shoot apical meristem but not in the leaf primordia. It is also expressed in the fourth floral whorl, in the region that would become style, particularly in the cell surrounding the transmitting tissue. No expression was detected in the first three floral whorls. Expression is repressed by auxin and AS1 which results in the promotion of leaf fate.
AT4G08160.1	Gelse_mpi.v2.2_MPIG007720.1	CRO_07G008510.2	glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein	Encodes a putative glycosyl hydrolase family 10 protein (xylanase).
AT1G58370.1	Gelse_mpi.v2.2_MPIG007720.1	CRO_07G008510.2	glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein	Encodes a protein with xylanase activity.
AT1G10050.1	Gelse_mpi.v2.2_MPIG007720.1	CRO_07G008510.2	glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein	Encodes a putative glycosyl hydrolase family 10 protein (xylanase).
NA	NA	CRO_07G008530.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007740.2	NA	NA	NA
NA	NA	CRO_07G008520.1	NA	NA
AT1G10040.1	Gelse_mpi.v2.2_MPIG007730.3	CRO_07G008540.1	alpha/beta-Hydrolases superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG007750.1	CRO_07G008550.1	NA	NA
AT1G10030.1	Gelse_mpi.v2.2_MPIG007760.3	CRO_07G008560.2	homolog of yeast ergosterol28	NA
AT1G10020.1	Gelse_mpi.v2.2_MPIG007770.1	CRO_07G008570.1	Protein of unknown function (DUF1005)	NA
NA	NA	CRO_07G008580.1	NA	NA
AT1G58350.1	NA	NA	Putative serine esterase  family protein	NA
NA	Gelse_mpi.v2.2_MPIG007780.1	CRO_07G008590.1	NA	NA
AT1G10010.1	NA	NA	amino acid permease 8	Encodes a high affinity amino acid transporter that is probably responsible for import of organic nitrogen into developing seeds. One of eight gene family members that encode amino acid permeases.  Most closely related to AAP1 (75%) identity.
AT4G08170.2	Gelse_mpi.v2.2_MPIG007790.4	CRO_07G008600.2	Inositol 1,3,4-trisphosphate 5/6-kinase family protein	NA
NA	NA	CRO_07G008610.1	NA	NA
NA	NA	CRO_07G008620.2	NA	NA
NA	Gelse_mpi.v2.2_MPIG007800.9	CRO_07G008630.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007810.6	CRO_07G008640.7	NA	NA
AT1G09995.1	NA	NA	DNA repair DEAD helicase RAD3/XP-D subfamily protein	NA
AT5G49630.1	Gelse_mpi.v2.2_MPIG007820.2	CRO_07G008650.1	amino acid permease 6	Is a high affinity amino acid transporter capable of transporting aspartate and tryptophan. May be involved in the amino acid uptake from xylem.
AT1G58360.1	Gelse_mpi.v2.2_MPIG007820.2	CRO_07G008650.1	amino acid permease 1	Encodes AAP1 (amino acid permease 1), a neutral amino acid transporter expressed in seeds.  Functions in amino acid uptake into embryos.
AT5G49640.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007830.1	NA	NA	NA
AT5G49650.1	Gelse_mpi.v2.2_MPIG007840.1	CRO_07G008660.1	xylulose kinase-2	Encodes a cytosolic protein capable of phosphorylating xylulose and deoxy-xylulose. It most likely plays a role in producing precursors for isoprenoid biosynthesis.
AT1G58330.1	NA	NA	transcription factor-related	NA
NA	Gelse_mpi.v2.2_MPIG007860.1	CRO_07G008670.1	NA	NA
AT1G09980.1	NA	NA	Putative serine esterase  family protein	NA
NA	Gelse_mpi.v2.2_MPIG007880.3	CRO_07G008690.2	NA	NA
AT5G49660.1	Gelse_mpi.v2.2_MPIG007870.1	CRO_07G008680.1	Leucine-rich repeat transmembrane protein kinase family protein	NA
AT1G58320.1	NA	NA	PLAC8 family protein	NA
AT1G09970.2	Gelse_mpi.v2.2_MPIG007890.1	CRO_07G008700.1	Leucine-rich receptor-like protein kinase family protein	RLK7 belongs to a leucine-rich repeat class of receptor-likekinase (LRR-RLKs). It is involved in the control of germination speed and the tolerance to oxidant stress.
NA	Gelse_mpi.v2.2_MPIG007900.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG007920.1	NA	NA	NA
AT1G09960.1	Gelse_mpi.v2.2_MPIG007910.1	CRO_07G008710.5	sucrose transporter 4	low affinity (10mM) sucrose transporter in sieve elements (phloem)
NA	NA	CRO_07G008720.1	NA	NA
AT1G58340.1	Gelse_mpi.v2.2_MPIG007930.2	NA	MATE efflux family protein	NA
NA	Gelse_mpi.v2.2_MPIG007940.1	CRO_07G008730.8	NA	NA
NA	Gelse_mpi.v2.2_MPIG007950.3	CRO_07G008740.1	NA	NA
AT1G09950.1	NA	NA	RESPONSE TO ABA AND SALT 1	NA
NA	Gelse_mpi.v2.2_MPIG007960.1	CRO_07G008760.2	NA	NA
NA	NA	CRO_07G008770.4	NA	NA
NA	NA	CRO_07G008780.1	NA	NA
AT1G58300.1	NA	NA	heme oxygenase 4	Encodes a member (HO4) of the heme oxygenase family.
NA	Gelse_mpi.v2.2_MPIG007970.1	CRO_07G008790.2	NA	NA
NA	Gelse_mpi.v2.2_MPIG007980.1	NA	NA	NA
NA	NA	CRO_07G008800.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG007990.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG008000.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG008010.1	CRO_07G008810.1	NA	NA
NA	NA	CRO_07G008750.1	NA	NA
AT1G58290.1	Gelse_mpi.v2.2_MPIG008020.1	CRO_07G008820.1	Glutamyl-tRNA reductase family protein	Encodes a protein with glutamyl-tRNA reductase (GluTR) activity, catalyzing the NADPH-dependent reduction of Glu-tRNA(Glu) to glutamate 1-semialdehyde (GSA) with the release of free tRNA(Glu). It is involved in the early steps of chlorophyll biosynthesis.
AT1G09940.1	Gelse_mpi.v2.2_MPIG008020.1	CRO_07G008820.1	Glutamyl-tRNA reductase family protein	Encodes glutamyl-tRNA reductase. Involved in heme biosynthesis in non-photosynthetic tissues and induced by oxidative stress in photosynthetic tissues to supply heme for defensive hemoproteins
AT5G49665.1	Gelse_mpi.v2.2_MPIG008030.1	CRO_07G008830.1	Zinc finger (C3HC4-type RING finger) family protein	NA
AT1G09935.1	NA	NA	Phosphoglycerate mutase family protein	NA
NA	Gelse_mpi.v2.2_MPIG008040.5	CRO_07G008840.2	NA	NA
NA	Gelse_mpi.v2.2_MPIG008050.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG008060.1	CRO_07G008850.2	NA	NA
AT1G58280.2	Gelse_mpi.v2.2_MPIG008070.2	CRO_07G008860.1	Phosphoglycerate mutase family protein	NA
NA	Gelse_mpi.v2.2_MPIG008080.2	CRO_07G008870.8	NA	NA
AT1G09932.1	NA	NA	Phosphoglycerate mutase family protein	NA
NA	Gelse_mpi.v2.2_MPIG008090.1	CRO_07G008880.1	NA	NA
AT4G24400.1	Gelse_mpi.v2.2_MPIG008100.2	CRO_07G008890.3	CBL-interacting protein kinase 8	Encodes a CBL (calcineurin B-like calcium sensor proteins) -interacting serine/threonine protein kinase. Regulates the low-affinity phase of the primary nitrate response.
NA	Gelse_mpi.v2.2_MPIG008110.1	CRO_07G008900.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG008120.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG008140.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG008150.1	CRO_07G008910.3	NA	NA
AT1G09930.1	Gelse_mpi.v2.2_MPIG008170.1	CRO_07G008920.1	oligopeptide transporter 2	oligopeptide transporter
AT1G58270.1	NA	NA	TRAF-like family protein	ZW9 mRNA, complete cds
AT4G24410.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG008180.1	CRO_07G008930.1	NA	NA
AT1G09900.1	Gelse_mpi.v2.2_MPIG008190.1	CRO_07G008940.1	Pentatricopeptide repeat (PPR-like) superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG008200.3	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG008210.1	CRO_07G008950.8	NA	NA
