A.thaliana,G.sempervirens,C.roseus,Short_description,Curator_summary,Cell_type,Name,Organ,Sources,cluster
AT3G16170,Gelse_mpi.v2.2_MPIG040870.1,CRO_06G000250.2,AMP-dependent synthetase and ligase family protein,NA,Epidermis,AAE13,Leaf,Lee et al 2025,15
AT3G16170,Gelse_mpi.v2.2_MPIG040870.1,CRO_06G000250.2,AMP-dependent synthetase and ligase family protein,NA,Epidermis,AAE13,Leaf,Lee et al 2025,19
AT3G16370,Gelse_mpi.v2.2_MPIG041490.2,CRO_06G000750.1,GDSL-like Lipase/Acylhydrolase superfamily protein,NA,Epidermis,AT3G16370,Leaf,Lee et al 2025,7
AT3G16370,Gelse_mpi.v2.2_MPIG041490.2,CRO_06G000750.1,GDSL-like Lipase/Acylhydrolase superfamily protein,NA,Epidermis,AT3G16370,Leaf,Lee et al 2025,15
AT5G14390,Gelse_mpi.v2.1_MPIG054810.3,CRO_06G001060.2,alpha/beta-Hydrolases superfamily protein,NA,Epidermis,AT5G14390,Leaf,Lee et al 2025,9
AT5G14410,Gelse_mpi.v2.1_MPIG054730.2,CRO_06G001130.1,NA,NA,Epidermis,AT5G14410,Leaf,Lee et al 2025,7
AT5G49480,Gelse_mpi.v2.3_MPIG031280.1,CRO_06G003480.1,Ca2+-binding protein 1,"AtCP1 encodes a novel Ca2+-binding protein, which shares sequence similarities with calmodulins. The expression of AtCP1 is induced by NaCl.",Mesophyll,CP1,Leaf,Lee et al 2025,17
AT3G06500,Gelse_mpi.v2.3_MPIG031570.1,CRO_06G003240.3,Plant neutral invertase family protein,NA,Mesophyll,A/N-InvC,Leaf,Lee et al 2025,4
AT3G06500,Gelse_mpi.v2.3_MPIG031570.1,CRO_06G003240.3,Plant neutral invertase family protein,NA,Mesophyll,A/N-InvC,Leaf,Lee et al 2025,12
AT3G06740,Gelse_mpi.v2.3_MPIG030650.1,CRO_06G004040.1,GATA transcription factor 15,Encodes a member of the GATA factor family of zinc finger transcription factors.,Mesophyll,GATA15,Leaf,Lee et al 2025,11
AT3G16720,Gelse_mpi.v2.3_MPIG030220.2,CRO_06G004500.1,TOXICOS EN LEVADURA 2,RING-H2 protein induced after exposure to chitin or inactivated crude cellulase preparations.,Epidermis,ATL2,Leaf,Lee et al 2025,17
AT4G15620,Gelse_mpi.v2.3_MPIG029170.1,CRO_06G006050.1,Uncharacterised protein family (UPF0497),NA,Trichome,AT4G15620,Leaf,Lee et al 2025,15
AT4G20270,Gelse_mpi.v2.1_MPIG015510.1,CRO_06G008220.2,Leucine-rich receptor-like protein kinase family protein,"Encodes a CLAVATA1-related receptor kinase-like protein required for both shoot and flower meristem function.  It has a broad expression pattern and is involved in vascular strand development in the leaf, control of leaf shape, size and symmetry, male gametophyte development and ovule specification and function.",Procambium_PP,BAM3,Stem/Leaf,"Li et al 2023; Lee et al 2025; Rodriguez-Villalon et al., 2014",4
AT4G20270,Gelse_mpi.v2.1_MPIG015510.1,CRO_06G008220.2,Leucine-rich receptor-like protein kinase family protein,"Encodes a CLAVATA1-related receptor kinase-like protein required for both shoot and flower meristem function.  It has a broad expression pattern and is involved in vascular strand development in the leaf, control of leaf shape, size and symmetry, male gametophyte development and ovule specification and function.",Procambium_PP,BAM3,Stem/Leaf,"Li et al 2023; Lee et al 2025; Rodriguez-Villalon et al., 2014",18
AT1G04680,Gelse_mpi.v2.3_MPIG022960.2,CRO_06G010230.1,Pectin lyase-like superfamily protein,NA,Epidermis,AT1G04680,Leaf,Lee et al 2025,9
AT1G04680,Gelse_mpi.v2.3_MPIG022960.2,CRO_06G010230.1,Pectin lyase-like superfamily protein,NA,Epidermis,AT1G04680,Leaf,Lee et al 2025,14
AT5G43330,Gelse_mpi.v2.3_MPIG024790.1,CRO_06G012790.1,Lactate/malate dehydrogenase family protein,NA,Epidermis,c-NAD-MDH2,Leaf,Lee et al 2025,7
AT5G43330,Gelse_mpi.v2.3_MPIG024790.1,CRO_06G012790.1,Lactate/malate dehydrogenase family protein,NA,Epidermis,c-NAD-MDH2,Leaf,Lee et al 2025,16
AT5G43330,Gelse_mpi.v2.3_MPIG024790.1,CRO_06G012790.1,Lactate/malate dehydrogenase family protein,NA,Epidermis,c-NAD-MDH2,Leaf,Lee et al 2025,19
AT3G23050,Gelse_mpi.v2.3_MPIG026100.1,CRO_06G014230.1,indole-3-acetic acid 7,"Transcription regulator acting as repressor of auxin-inducible gene expression. Plays role in the control of gravitropic growth and development in light-grown seedlings. Auxin induces the degradation of the protein in a dosage-dependent manner in a process mediated by AtRac1. Auxin induced the relocalization of the protein within the nucleus from a diffused nucleoplasmic pattern to a discrete particulated pattern named nuclear protein bodies or NPB in a process also mediated by Rac1. Colocalizes with SCF, CSN and 26S proteasome components.",Epidermis,IAA7,Leaf,Lee et al 2025,7
AT4G14550,Gelse_mpi.v2.3_MPIG026100.1,CRO_06G014230.1,indole-3-acetic acid inducible 14,IAA14 is a member of the Aux/IAA protein family.   Involved in lateral root development. Gain of function mutation decreases auxin-inducible gene expression. Protein is localized to the nucleus. Expressed in stele and root tip epidermis. Functions as a negative regulator of ARF7/19.,Epidermis,IAA14,Leaf,Lee et al 2025,7
AT1G04220,Gelse_mpi.v2.3_MPIG026280.1,CRO_06G014380.1,3-ketoacyl-CoA synthase 2,"Encodes KCS2, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids).",Epidermis,KCS2,Leaf,Lee et al 2025,1
AT1G04220,Gelse_mpi.v2.3_MPIG026280.1,CRO_06G014380.1,3-ketoacyl-CoA synthase 2,"Encodes KCS2, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids).",Epidermis,KCS2,Leaf,Lee et al 2025,7
AT1G04220,Gelse_mpi.v2.3_MPIG026280.1,CRO_06G014380.1,3-ketoacyl-CoA synthase 2,"Encodes KCS2, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids).",Epidermis,KCS2,Leaf,Lee et al 2025,15
AT4G14620,Gelse_mpi.v2.3_MPIG026320.1,CRO_06G014470.2,Protein of unknown function (DUF506) ,NA,Epidermis,AT4G14620,Leaf,Lee et al 2025,1
AT4G14620,Gelse_mpi.v2.3_MPIG026320.1,CRO_06G014470.2,Protein of unknown function (DUF506) ,NA,Epidermis,AT4G14620,Leaf,Lee et al 2025,4
AT4G14620,Gelse_mpi.v2.3_MPIG026320.1,CRO_06G014470.2,Protein of unknown function (DUF506) ,NA,Epidermis,AT4G14620,Leaf,Lee et al 2025,7
AT4G14620,Gelse_mpi.v2.3_MPIG026320.1,CRO_06G014470.2,Protein of unknown function (DUF506) ,NA,Epidermis,AT4G14620,Leaf,Lee et al 2025,9
AT4G14620,Gelse_mpi.v2.3_MPIG026320.1,CRO_06G014470.2,Protein of unknown function (DUF506) ,NA,Epidermis,AT4G14620,Leaf,Lee et al 2025,10
AT4G14620,Gelse_mpi.v2.3_MPIG026320.1,CRO_06G014470.2,Protein of unknown function (DUF506) ,NA,Epidermis,AT4G14620,Leaf,Lee et al 2025,12
AT4G14620,Gelse_mpi.v2.3_MPIG026320.1,CRO_06G014470.2,Protein of unknown function (DUF506) ,NA,Epidermis,AT4G14620,Leaf,Lee et al 2025,15
AT4G14740,Gelse_mpi.v2.3_MPIG026850.2,CRO_06G014960.1,Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region,NA,Epidermis,AT4G14740,Leaf,Lee et al 2025,1
AT5G16240,Gelse_mpi.v2.1_MPIG015120.2,CRO_06G016190.3,Plant stearoyl-acyl-carrier-protein desaturase family protein,NA,Epidermis,AT5G16240,Leaf,Lee et al 2025,7
AT1G65470,Gelse_mpi.v2.1_MPIG015110.1,CRO_06G016210.2,chromatin assembly factor-1 (FASCIATA1) (FAS1),"Chromatin Assembly Factor-1 (CAF-1) p150 subunit. Mutants have reduced heterochromatin content.  In Arabidopsis, the three CAF-1 subunits are encoded by FAS1, FAS2 and, most likely, MSI1, respectively.  Mutations in FAS1 or FAS2 lead to increased frequency of homologous recombination and T-DNA integration in Arabidopsis.",Mesophyll,FAS1,Leaf,Lee et al 2025,11
AT1G65450,Gelse_mpi.v2.1_MPIG015060.3,CRO_06G016280.1,HXXXD-type acyl-transferase family protein,NA,Trichome,AT1G65450,Leaf,Lee et al 2025,1
AT1G65450,Gelse_mpi.v2.1_MPIG015060.3,CRO_06G016280.1,HXXXD-type acyl-transferase family protein,NA,Trichome,AT1G65450,Leaf,Lee et al 2025,7
AT1G65450,Gelse_mpi.v2.1_MPIG015060.3,CRO_06G016280.1,HXXXD-type acyl-transferase family protein,NA,Trichome,AT1G65450,Leaf,Lee et al 2025,15
AT1G65450,Gelse_mpi.v2.1_MPIG015060.3,CRO_06G016280.1,HXXXD-type acyl-transferase family protein,NA,Trichome,AT1G65450,Leaf,Lee et al 2025,19
AT3G54820,Gelse_mpi.v2.1_MPIG013370.1,CRO_06G018840.1,plasma membrane intrinsic protein 2;5,NA,Epidermis,PIP2;5,Leaf,Lee et al 2025,9
AT3G54820,Gelse_mpi.v2.1_MPIG013370.1,CRO_06G018840.1,plasma membrane intrinsic protein 2;5,NA,Epidermis,PIP2;5,Leaf,Lee et al 2025,10
AT3G54820,Gelse_mpi.v2.1_MPIG013370.1,CRO_06G018840.1,plasma membrane intrinsic protein 2;5,NA,Epidermis,PIP2;5,Leaf,Lee et al 2025,12
AT3G54820,Gelse_mpi.v2.1_MPIG013370.1,CRO_06G018840.1,plasma membrane intrinsic protein 2;5,NA,Epidermis,PIP2;5,Leaf,Lee et al 2025,14
AT3G54820,Gelse_mpi.v2.1_MPIG013370.1,CRO_06G018840.1,plasma membrane intrinsic protein 2;5,NA,Epidermis,PIP2;5,Leaf,Lee et al 2025,15
AT3G54820,Gelse_mpi.v2.1_MPIG013370.1,CRO_06G018840.1,plasma membrane intrinsic protein 2;5,NA,Epidermis,PIP2;5,Leaf,Lee et al 2025,16
AT3G54820,Gelse_mpi.v2.1_MPIG013370.1,CRO_06G018840.1,plasma membrane intrinsic protein 2;5,NA,Epidermis,PIP2;5,Leaf,Lee et al 2025,19
AT3G54860,Gelse_mpi.v2.1_MPIG012610.5,CRO_06G019880.1,Sec1/munc18-like (SM) proteins superfamily,Homologous to yeast VPS33. Forms a complex with VCL1 and AtVPS11. Involved in vacuolar biogenesis.,Epidermis,ATVPS33,Leaf,Lee et al 2025,16
AT3G10410,Gelse_mpi.v2.1_MPIG012520.1,CRO_06G019990.1,SERINE CARBOXYPEPTIDASE-LIKE 49,NA,Trichome,AT3G10410,Leaf,Lee et al 2025,13
AT1G66230,Gelse_mpi.v2.1_MPIG040740.3,CRO_06G024260.1,myb domain protein 20,Encodes a putative transcription factor (MYB20).,Epidermis,MYB20,Leaf,Lee et al 2025,12
AT4G38770,Gelse_mpi.v2.4_MPIG030930.3,CRO_06G025640.1,proline-rich protein 4,Encodes one of four proline-rich proteins in Arabidopsis which are predicted to localize to the cell wall.  Transcripts are most abundant in aerial organs of the plant.,Epidermis,PRP4,Leaf,Lee et al 2025,7
AT4G38770,Gelse_mpi.v2.4_MPIG030930.3,CRO_06G025640.1,proline-rich protein 4,Encodes one of four proline-rich proteins in Arabidopsis which are predicted to localize to the cell wall.  Transcripts are most abundant in aerial organs of the plant.,Epidermis,PRP4,Leaf,Lee et al 2025,19
AT2G16850,Gelse_mpi.v2.4_MPIG031630.1,CRO_06G026270.1,plasma membrane intrinsic protein 2;8,NA,Procambium_PP,PIP2;8,Leaf,Lee et al 2025,4
AT2G16850,Gelse_mpi.v2.4_MPIG031630.1,CRO_06G026270.1,plasma membrane intrinsic protein 2;8,NA,Procambium_PP,PIP2;8,Leaf,Lee et al 2025,9
AT2G16850,Gelse_mpi.v2.4_MPIG031630.1,CRO_06G026270.1,plasma membrane intrinsic protein 2;8,NA,Procambium_PP,PIP2;8,Leaf,Lee et al 2025,10
AT2G16850,Gelse_mpi.v2.4_MPIG031630.1,CRO_06G026270.1,plasma membrane intrinsic protein 2;8,NA,Procambium_PP,PIP2;8,Leaf,Lee et al 2025,12
AT2G16850,Gelse_mpi.v2.4_MPIG031630.1,CRO_06G026270.1,plasma membrane intrinsic protein 2;8,NA,Procambium_PP,PIP2;8,Leaf,Lee et al 2025,14
AT2G16850,Gelse_mpi.v2.4_MPIG031630.1,CRO_06G026270.1,plasma membrane intrinsic protein 2;8,NA,Procambium_PP,PIP2;8,Leaf,Lee et al 2025,18
AT2G45190,Gelse_mpi.v2.4_MPIG022000.1,CRO_06G029770.1,Plant-specific transcription factor YABBY family protein,Encodes a member of the YABBY family of transcriptional regulators that is involved in abaxial cell type specification in leaves and fruits. YAB1 acts in a non-cell autonomous fashion within the meristem to affect phyllotactic patterning. The non-autonomous effect on the central region of the meristem is mediated through the activity if Lateral Suppressor (LAS).,Mesophyll,AFO,Leaf,Lee et al 2025,6
AT2G45190,Gelse_mpi.v2.4_MPIG022000.1,CRO_06G029770.1,Plant-specific transcription factor YABBY family protein,Encodes a member of the YABBY family of transcriptional regulators that is involved in abaxial cell type specification in leaves and fruits. YAB1 acts in a non-cell autonomous fashion within the meristem to affect phyllotactic patterning. The non-autonomous effect on the central region of the meristem is mediated through the activity if Lateral Suppressor (LAS).,Mesophyll,AFO,Leaf,Lee et al 2025,8
AT4G00180,Gelse_mpi.v2.4_MPIG022000.1,CRO_06G029770.1,Plant-specific transcription factor YABBY family protein,"YABBY gene family member, likely has transcription factor activity, involved in specifying abaxial cell fate. Along with FIL, involved in patterning of the fruit. GUS reporter gene expression in seedlings is observed in the young leaves and as the leaf matures, expression is restricted to the abaxial tissues of leaves, expression is also observed on either side of the leaf margin in the younger tissues of leaf blades.",Abaxial Epidermis,YAB3,Leaf,Lee et al 2025,6
AT4G00180,Gelse_mpi.v2.4_MPIG022000.1,CRO_06G029770.1,Plant-specific transcription factor YABBY family protein,"YABBY gene family member, likely has transcription factor activity, involved in specifying abaxial cell fate. Along with FIL, involved in patterning of the fruit. GUS reporter gene expression in seedlings is observed in the young leaves and as the leaf matures, expression is restricted to the abaxial tissues of leaves, expression is also observed on either side of the leaf margin in the younger tissues of leaf blades.",Abaxial Epidermis,YAB3,Leaf,Lee et al 2025,8
AT4G00050,Gelse_mpi.v2.4_MPIG021490.5,CRO_06G030210.2,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,NA,Epidermis,UNE10,Leaf,Lee et al 2025,0
AT4G00050,Gelse_mpi.v2.4_MPIG021490.5,CRO_06G030210.2,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,NA,Epidermis,UNE10,Leaf,Lee et al 2025,2
AT4G00050,Gelse_mpi.v2.4_MPIG021490.5,CRO_06G030210.2,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,NA,Epidermis,UNE10,Leaf,Lee et al 2025,3
AT4G00050,Gelse_mpi.v2.4_MPIG021490.5,CRO_06G030210.2,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,NA,Epidermis,UNE10,Leaf,Lee et al 2025,6
AT4G00050,Gelse_mpi.v2.4_MPIG021490.5,CRO_06G030210.2,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,NA,Epidermis,UNE10,Leaf,Lee et al 2025,8
AT2G45660,Gelse_mpi.v2.4_MPIG023030.14,CRO_06G031200.3,AGAMOUS-like 20,Controls flowering and is required for CO to promote flowering. It acts downstream of FT. Overexpression of (SOC1) AGL20 suppresses not only the late flowering of plants that have functional FRI and FLC alleles but also the delayed phase transitions during the vegetative stages of development. AGL20/SOC1 acts with AGL24 to promote flowering and inflorescence meristem identity.AGL20 upregulates expression of AGL24 in response to GA.,Cortex,AGL20,Stem,Lee et al 2025,1
AT2G45660,Gelse_mpi.v2.4_MPIG023030.14,CRO_06G031200.3,AGAMOUS-like 20,Controls flowering and is required for CO to promote flowering. It acts downstream of FT. Overexpression of (SOC1) AGL20 suppresses not only the late flowering of plants that have functional FRI and FLC alleles but also the delayed phase transitions during the vegetative stages of development. AGL20/SOC1 acts with AGL24 to promote flowering and inflorescence meristem identity.AGL20 upregulates expression of AGL24 in response to GA.,Cortex,AGL20,Stem,Lee et al 2025,7
AT2G45660,Gelse_mpi.v2.4_MPIG023030.14,CRO_06G031200.3,AGAMOUS-like 20,Controls flowering and is required for CO to promote flowering. It acts downstream of FT. Overexpression of (SOC1) AGL20 suppresses not only the late flowering of plants that have functional FRI and FLC alleles but also the delayed phase transitions during the vegetative stages of development. AGL20/SOC1 acts with AGL24 to promote flowering and inflorescence meristem identity.AGL20 upregulates expression of AGL24 in response to GA.,Cortex,AGL20,Stem,Lee et al 2025,15
AT2G45820,Gelse_mpi.v2.4_MPIG002950.4,CRO_06G031770.1,Remorin family protein,NA,Exocarp,AT2G45820,Silique,Lee et al 2025,18
AT4G00400,Gelse_mpi.v2.4_MPIG002480.2,CRO_06G032080.1,glycerol-3-phosphate acyltransferase 8,Involved in cutin assembly. Is functionally redundant with GPAT4.,Epidermis,GPAT8,Leaf,Lee et al 2025,1
AT4G00400,Gelse_mpi.v2.4_MPIG002480.2,CRO_06G032080.1,glycerol-3-phosphate acyltransferase 8,Involved in cutin assembly. Is functionally redundant with GPAT4.,Epidermis,GPAT8,Leaf,Lee et al 2025,7
AT4G00400,Gelse_mpi.v2.4_MPIG002480.2,CRO_06G032080.1,glycerol-3-phosphate acyltransferase 8,Involved in cutin assembly. Is functionally redundant with GPAT4.,Epidermis,GPAT8,Leaf,Lee et al 2025,15
AT1G01610,Gelse_mpi.v2.4_MPIG002480.2,CRO_06G032080.1,glycerol-3-phosphate acyltransferase 4,Encodes a protein with glycerol-3-phosphate acyltransferase activity. Involved in cutin assembly. Is functional redundant of GPAT8.,Epidermis,GPAT4,Leaf,Lee et al 2025,1
AT1G01610,Gelse_mpi.v2.4_MPIG002480.2,CRO_06G032080.1,glycerol-3-phosphate acyltransferase 4,Encodes a protein with glycerol-3-phosphate acyltransferase activity. Involved in cutin assembly. Is functional redundant of GPAT8.,Epidermis,GPAT4,Leaf,Lee et al 2025,7
AT1G01610,Gelse_mpi.v2.4_MPIG002480.2,CRO_06G032080.1,glycerol-3-phosphate acyltransferase 4,Encodes a protein with glycerol-3-phosphate acyltransferase activity. Involved in cutin assembly. Is functional redundant of GPAT8.,Epidermis,GPAT4,Leaf,Lee et al 2025,15
AT2G46140,Gelse_mpi.v2.4_MPIG001940.1,CRO_06G032580.1,Late embryogenesis abundant protein,NA,Trichome,AT2G46140,Leaf,Lee et al 2025,12
AT2G46140,Gelse_mpi.v2.4_MPIG001940.1,CRO_06G032580.1,Late embryogenesis abundant protein,NA,Trichome,AT2G46140,Leaf,Lee et al 2025,18
AT1G01470,Gelse_mpi.v2.4_MPIG001940.1,CRO_06G032580.1,Late embryogenesis abundant protein,Encodes late-embryogenesis abundant protein whose mRNA levels are induced in response to wounding and light stress. Might be involved in protection against dessication.,Trichome,AT1G01470,Leaf,Lee et al 2025,12
AT1G01470,Gelse_mpi.v2.4_MPIG001940.1,CRO_06G032580.1,Late embryogenesis abundant protein,Encodes late-embryogenesis abundant protein whose mRNA levels are induced in response to wounding and light stress. Might be involved in protection against dessication.,Trichome,AT1G01470,Leaf,Lee et al 2025,18
AT2G46410,Gelse_mpi.v2.4_MPIG001340.1,CRO_06G033010.2,Homeodomain-like superfamily protein,"Nuclear-localized R3-type MYB transcription factor. Positive regulator of hair-cell differentiation. Preferentially transcribed in hairless cells. Moves from atrichoblasts into trichoblast via plasmodesmata in a tissue-specific mode. N-terminus and part of the Myb domain are required for this movement, with W76 playing a crucial role. Capability to increase the size-exclusion limit of plasmodesmata. Regulated by WEREWOLF.",Trichome,CAPRICE,Leaf,Lee et al 2025,13
AT3G61820,Gelse_mpi.v2.4_MPIG000890.1,CRO_06G033350.1,Eukaryotic aspartyl protease family protein,NA,Procambium_XP,AT3G61820,Leaf,Lee et al 2025,6
AT3G61820,Gelse_mpi.v2.4_MPIG000890.1,CRO_06G033350.1,Eukaryotic aspartyl protease family protein,NA,Procambium_XP,AT3G61820,Leaf,Lee et al 2025,13
AT4G16780,Gelse_mpi.v2.7_MPIG013580.2,CRO_07G002070.1,homeobox protein 2,Encodes a homeodomain-leucine zipper protein that is rapidly and strongly induced by changes in the ratio of red to far-red light.  It is also involved in cell expansion and cell proliferation and in the response to auxin.,Epidermis,HB-2,Leaf,Lee et al 2025,1
AT4G16780,Gelse_mpi.v2.7_MPIG013580.2,CRO_07G002070.1,homeobox protein 2,Encodes a homeodomain-leucine zipper protein that is rapidly and strongly induced by changes in the ratio of red to far-red light.  It is also involved in cell expansion and cell proliferation and in the response to auxin.,Epidermis,HB-2,Leaf,Lee et al 2025,3
AT4G16780,Gelse_mpi.v2.7_MPIG013580.2,CRO_07G002070.1,homeobox protein 2,Encodes a homeodomain-leucine zipper protein that is rapidly and strongly induced by changes in the ratio of red to far-red light.  It is also involved in cell expansion and cell proliferation and in the response to auxin.,Epidermis,HB-2,Leaf,Lee et al 2025,5
AT4G16780,Gelse_mpi.v2.7_MPIG013580.2,CRO_07G002070.1,homeobox protein 2,Encodes a homeodomain-leucine zipper protein that is rapidly and strongly induced by changes in the ratio of red to far-red light.  It is also involved in cell expansion and cell proliferation and in the response to auxin.,Epidermis,HB-2,Leaf,Lee et al 2025,7
AT4G12430,Gelse_mpi.v2.7_MPIG012290.1,CRO_07G002920.2,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein,NA,Trichome,AT4G12430,Leaf,Lee et al 2025,19
AT1G12430,Gelse_mpi.v2.7_MPIG011780.4,CRO_07G003520.1,armadillo repeat kinesin 3,"Encodes the kinesin-like protein PAK has an Armadillo motif tail and is involved  in guard cell development in Arabidopsis (from Genbank record AF159052).However, no defect in stomatal complexes has been observed in loss of function mutations.",Cortex,ARK3,Stem,Lee et al 2025,9
AT1G63100,Gelse_mpi.v2.7_MPIG011080.1,CRO_07G004080.1,GRAS family transcription factor,NA,Cell division,AT1G63100,Seedling,Lee et al 2025,14
AT4G11330,Gelse_mpi.v2.7_MPIG002650.1,CRO_07G005230.2,MAP kinase 5,MAP kinase,Mesophyll,MPK5,Leaf,Lee et al 2025,19
AT5G41810,Gelse_mpi.v2.7_MPIG001610.1,CRO_07G006000.1,NA,NA,Epidermis,AT5G41810,Leaf,Lee et al 2025,15
AT1G64390,Gelse_mpi.v2.7_MPIG001430.1,CRO_07G006180.1,glycosyl hydrolase 9C2,NA,Epidermis,GH9C2,Leaf,Lee et al 2025,0
AT1G64390,Gelse_mpi.v2.7_MPIG001430.1,CRO_07G006180.1,glycosyl hydrolase 9C2,NA,Epidermis,GH9C2,Leaf,Lee et al 2025,3
AT1G64390,Gelse_mpi.v2.7_MPIG001430.1,CRO_07G006180.1,glycosyl hydrolase 9C2,NA,Epidermis,GH9C2,Leaf,Lee et al 2025,6
AT1G64390,Gelse_mpi.v2.7_MPIG001430.1,CRO_07G006180.1,glycosyl hydrolase 9C2,NA,Epidermis,GH9C2,Leaf,Lee et al 2025,9
AT1G64390,Gelse_mpi.v2.7_MPIG001430.1,CRO_07G006180.1,glycosyl hydrolase 9C2,NA,Epidermis,GH9C2,Leaf,Lee et al 2025,13
AT1G64400,Gelse_mpi.v2.7_MPIG001400.2,CRO_07G006200.2,AMP-dependent synthetase and ligase family protein,NA,Epidermis,LACS3,Leaf,Lee et al 2025,16
AT1G64400,Gelse_mpi.v2.7_MPIG001400.2,CRO_07G006200.2,AMP-dependent synthetase and ligase family protein,NA,Epidermis,LACS3,Leaf,Lee et al 2025,19
AT5G42020,Gelse_mpi.v2.7_MPIG000990.1,CRO_07G006650.1,Heat shock protein 70 (Hsp 70) family protein,Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.,Epidermis,BIP2,Leaf,Lee et al 2025,1
AT5G42020,Gelse_mpi.v2.7_MPIG000990.1,CRO_07G006650.1,Heat shock protein 70 (Hsp 70) family protein,Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.,Epidermis,BIP2,Leaf,Lee et al 2025,4
AT5G42020,Gelse_mpi.v2.7_MPIG000990.1,CRO_07G006650.1,Heat shock protein 70 (Hsp 70) family protein,Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.,Epidermis,BIP2,Leaf,Lee et al 2025,7
AT5G42020,Gelse_mpi.v2.7_MPIG000990.1,CRO_07G006650.1,Heat shock protein 70 (Hsp 70) family protein,Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.,Epidermis,BIP2,Leaf,Lee et al 2025,9
AT5G42020,Gelse_mpi.v2.7_MPIG000990.1,CRO_07G006650.1,Heat shock protein 70 (Hsp 70) family protein,Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.,Epidermis,BIP2,Leaf,Lee et al 2025,12
AT5G42020,Gelse_mpi.v2.7_MPIG000990.1,CRO_07G006650.1,Heat shock protein 70 (Hsp 70) family protein,Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.,Epidermis,BIP2,Leaf,Lee et al 2025,18
AT5G42020,Gelse_mpi.v2.7_MPIG000990.1,CRO_07G006650.1,Heat shock protein 70 (Hsp 70) family protein,Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.,Epidermis,BIP2,Leaf,Lee et al 2025,20
AT1G46480,Gelse_mpi.v2.2_MPIG005990.1,CRO_07G006930.1,WUSCHEL related homeobox 4,Encodes a WUSCHEL-related homeobox gene family member with 65 amino acids in its homeodomain. Proteins in this family contain a sequence of eight residues (TLPLFPMH) downstream of the homeodomain called the WUS box. This protein also contains an acidic domain approximately 10 residues upstream of the WUS box. Part of the TDIF-TDR-WOX4 signaling pathway that plays a crucial role in the maintenance of the vascular meristem organization during secondary growth.,Cambium,WOX4,Stem/Leaf,"Li et al 2023; Lee et al 2025; Kim et al., 2021",9
AT1G78240,Gelse_mpi.v2.2_MPIG010440.5,CRO_07G010810.3,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,"Encodes TSD2 (TUMOROUS SHOOT DEVELOPMENT2), a putative methyltransferase with an essential role in cell adhesion and coordinated plant development.",Epidermis,TSD2,Leaf,Lee et al 2025,6
AT1G78240,Gelse_mpi.v2.2_MPIG010440.5,CRO_07G010810.3,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,"Encodes TSD2 (TUMOROUS SHOOT DEVELOPMENT2), a putative methyltransferase with an essential role in cell adhesion and coordinated plant development.",Epidermis,TSD2,Leaf,Lee et al 2025,16
AT1G78240,Gelse_mpi.v2.2_MPIG010440.5,CRO_07G010810.3,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,"Encodes TSD2 (TUMOROUS SHOOT DEVELOPMENT2), a putative methyltransferase with an essential role in cell adhesion and coordinated plant development.",Epidermis,TSD2,Leaf,Lee et al 2025,17
AT1G35780,Gelse_mpi.v2.2_MPIG010930.3,CRO_07G011110.4,NA,NA,Procambium_PP,AT1G35780,Leaf,Lee et al 2025,4
AT1G35780,Gelse_mpi.v2.2_MPIG010930.3,CRO_07G011110.4,NA,NA,Procambium_PP,AT1G35780,Leaf,Lee et al 2025,7
AT1G35780,Gelse_mpi.v2.2_MPIG010930.3,CRO_07G011110.4,NA,NA,Procambium_PP,AT1G35780,Leaf,Lee et al 2025,9
AT1G35780,Gelse_mpi.v2.2_MPIG010930.3,CRO_07G011110.4,NA,NA,Procambium_PP,AT1G35780,Leaf,Lee et al 2025,10
AT1G35780,Gelse_mpi.v2.2_MPIG010930.3,CRO_07G011110.4,NA,NA,Procambium_PP,AT1G35780,Leaf,Lee et al 2025,11
AT1G35780,Gelse_mpi.v2.2_MPIG010930.3,CRO_07G011110.4,NA,NA,Procambium_PP,AT1G35780,Leaf,Lee et al 2025,12
